review,period,sentiment,ux_category,detail
2. 스티커의 기울기나 좌우 반전이 되지 않는 점이 아쉬웠습니다. 예를 들어 말머리 스티커를 사용하여 꾸미고싶은데 사진에 따라서 인물이 한쪽으로 치우치는 경우가 생기는데 말머리의 좌우변경이 되지않아서 다른 스티커를 사용해야했던 점과 기울기도 마찬가지로 인물이 정자세가 아닐 경우 볼터치 같은 블러셔를 기울어서 사용하고 싶지만 그렇지 못한점이 아쉬웠습니다,04기,부정,꾸미기 기능 부족,스티커
안드로이드 / AR카메라 어플 실행시 종종 까만화면만 나옵니다 ㅜㅜ,04기,부정,앱 성능/안정성,앱멈춤
아이폰. 어플 반응이 너무느려요,04기,부정,앱 성능/안정성,속도
사진저장하기 누르면 바로 업로드 되는게 안보여서 앱을 새로시작하면 업로드 되어있어요 ㅠㅠ 안드로이드 입니다,04기,부정,앱 성능/안정성,앱멈춤
OS:애플 / 작동이 매우 느리더라구요 ㅠㅠ 스토리를 올린 후 다음 과정에 텀이 넘 길어서 처음엔 에러가 난줄 알고 계속 껐다 다시 키고 그랬어요ㅠㅠ,04기,부정,앱 성능/안정성,속도
아직까지 없습니당 ㅎㅎ감사합니다!!,04기,긍정,기타,기타
뽑아줘서 감사합니당!아직까지 오류상황은없습니다 감가합니다,04기,긍정,기타,기타
"반갑습니다! 
저는 안드로이드인데, 피드랑 스토리에 사진이 안뜰때가 많아요...ㅠㅠ 계속 껐다키기를 반복하게되네요..! ",04기,부정,기타,기타
"그리고 텍스트입력시 이모티콘은 안되는점,",04기,부정,꾸미기 기능 부족,텍스트
사진 자르기 기능 있으면 더 편할것같아요!,04기,부정,기타,기타
안드로이드 / 앱 로딩이 좀 긴 편인데 원래 그런가요?,04기,부정,앱 성능/안정성,속도
"몸무게 10 이상 입력이 안되어요,",04기,부정,기타,기타
닉네임 재 변경은 한 달 기다려야한다는데 이 부분이 닉네임 설정 당시 안내되었으면 합니다.,04기,부정,기타,기타
"1주 미션하면서 즐거운 마음이었어요~^^ 
요즘 스몰스 사진 꾸미면서 콜라와의 추억도 다시 생각나고 힐링되고 너무 즐거워요.",04기,긍정,기타,기타
애플/앱초기 로딩시간이 좀 길어요.,04기,부정,앱 성능/안정성,속도
주기적으로 더 다양한 스티커가 많이 올라왔으면 좋겠어요.(주1~2개씩),04기,부정,꾸미기 기능 부족,스티커
"태마 스티커가 많아 졌으면 좋겠어요.(학교-학생, 직업-제복, 계절-봄여름가을겨울, 캠핑 등) ",04기,부정,꾸미기 기능 부족,스티커
스티커 회전도 되었으면 좋겠어요. (디테일하게 표현 할수있으면 더 실감나는 꾸미기가 될거같아요) ,04기,부정,꾸미기 기능 부족,스티커
무드라이브러리 에 관한 자세한 사용설명도 공지나 사용설명서로 부탁드려보아요.,04기,부정,기타,기타
감사합니다 안드로이드,04기,긍정,기타,기타
감사합니당ㅎㅎ,04기,긍정,기타,기타
일댠 사진 저장이 안됩니다. 그래서 캡쳐했어요. ,04기,부정,기타,기타
이미지 저장방법을 몰라 한참 헤메었네요 😭‼️ ,04기,부정,기타,기타
레이아웃기능 너무 귀여워요!,04기,긍정,꾸미기 기능 부족,레이아웃
이미지와 함께 텍스트가 올라가면 좋을것 같아요 😉♥️ ,04기,부정,기록 경험 불편,스토리작성
그리고 다른 강아지 이미지에 주절주절 주접떨고싶지만 30자 은근 짧은것.. ,04기,부정,소통 기능 부족,댓글
그리고 발바닥미션하면서 이미지를 180도로 뒤집었더니 스티커도 뒤집혀 나오더라구요! 이점은 오류에 가깝지 않을까 했어요! ,04기,부정,기타,기타
아 그리구 최근탭으로 가도 29일 전 피드가 떠서 최신과 추천피드랑 구분이 안되는 것 같아 아쉬워요 😭 ,04기,부정,기타,기타
불많이 많기보다 너무 좋은 앱같아서 계속 만져보다보니 생기던 생각들 보내옵니다.. 🥺✨️❤️ 운영자님 늦어서 죄송하구 감사합니닷 ‼️😉♥️,04기,긍정,기타,기타
글자수가 자동으로 넘어가서 길게 못쓰는게 너무 아쉬워요!!,05기,부정,꾸미기 기능 부족,텍스트
저 다양한 레이아웃이 있으면 좋을꺼같아요,05기,부정,꾸미기 기능 부족,레이아웃
고양이 친구들 추가돼서 좋아용 너무 귀여워요❤️❤️,05기,긍정,기타,기타
영상도 간단한 편집 기능 있으면 좋겠어용,05기,부정,꾸미기 기능 부족,영상편집
스티커 제한수 요!! 귀여운스티커 마구 쓰고싶은데 5개 제한 아쉬워요>.<,05기,부정,꾸미기 기능 부족,스티커
고양이 레이아웃이 더 많아지면 좋겠어요,05기,부정,꾸미기 기능 부족,레이아웃
피곤한강아지가 행복한 강아지 (피개행개) 스트커 잇엇으면 좋겟어용,05기,부정,꾸미기 기능 부족,스티커
텍스트 테두리가 있으면 좋겠다 생각했습니다! 테두리를 컬러선택과 두껍고 얇게 조종할 수있게 되어있으면 좋겠어요~,05기,부정,꾸미기 기능 부족,텍스트
정방형 (1:1비율) 그대로 사진이 업로드되지 않는 점이 조금 아쉬워요ㅠㅠ 정방형 사진을 올리려고 하면 위아래 검은 부분이 저절로 생겨서 사진이 안예뻐지네요ㅠㅠ,05기,부정,기타,기타
재미있는 스티커 더 많이 볼수있으면 좋겠어요~겨울시즌 스티커 예쁜게 많이 올려주세요~,05기,부정,꾸미기 기능 부족,스티커
사진꾸미기 갤러리 선택할때 오류가 있었는데 오류가 없어진거 같아 좋아요~,05기,긍정,기타,기타
사진을 확대 하는 기능이 있으면 좋을 것 같아요~,05기,부정,기타,기타
사진을 확대 하는 기능이 있으면 좋을 것 같아요~,05기,부정,기타,기타
스티커가 거 많았으면 좋겠어요!,05기,부정,꾸미기 기능 부족,스티커
그리기 기능도 있으면 훨씬 좋을 것 같아용!!,05기,부정,기타,기타
영상 업로드가 너무 느려서 답답할 때가 있습니다 ㅠㅠ,05기,부정,앱 성능/안정성,속도
동영상 업로드 시간이 너무 오래 걸리는 것 같습니다.,05기,부정,앱 성능/안정성,속도
어플 열림 등의 시간이 너무 오래 걸리는 것 같습니다.,05기,부정,앱 성능/안정성,속도
앱 시작할 때까지 시간이 꽤 걸려요 업데이트 확인을 너무 자주 하는 ..?,05기,부정,앱 성능/안정성,속도
동영상 업로드가 느리고,05기,부정,앱 성능/안정성,속도
카메라 반응이 사아아알짝 느립니다💖,05기,부정,앱 성능/안정성,속도
"캐릭터에 믹스견도 다양하게 있었으면 좋겠습니다.
아이가 시바견이랑 좀 닮아서 시바견으로 하고있는데 믹스견에 포메라이언?스피치?인 아이가 있어서 아쉽네요...!",05기,부정,기록 경험 불편,묘종/견종추가
업로드 후 렉걸리는것..ㅜㅜ(까만화면),05기,부정,앱 성능/안정성,앱멈춤
아직두화면이까매지는 현상이있구,05기,부정,앱 성능/안정성,앱멈춤
저 알림이 안뜹니당!!,05기,부정,기록 경험 불편,알림
사진을 꾸미고 나서 업로드하는 과정에서 검은 화면이 뜨면서 오랫동안 로딩이 안되거나 앱을 다시 재부팅해야할 때가 있어 불편함을 느꼈습니다 ㅠㅠ,05기,부정,앱 성능/안정성,앱멈춤
이용도중 갑자기 블랙화면이 되거나 화면이 멈춰서 몇번 껐다 다시 킨적이 있었어요ㅠㅜ,05기,부정,앱 성능/안정성,앱멈춤
사진을 올리고 나면 앱이 까맣게 변해버리는 증상이 자꾸 반복되요😂😂,05기,부정,앱 성능/안정성,앱멈춤
"미션 수행이 너무너무 복잡하고 불편합니다. 조금더 편하게 URL을 입력한다던지, 영상업로드 방식이 개선된다던지, 다양한 어플의 개선이 필요해 보입니다.",05기,부정,기타,기타
사진과 동영상 업로드시에 사진과 동영상의 내용을 작성 할 수 있으면 더 좋을거같아요! ,05기,부정,기록 경험 불편,스토리작성
저는 깔끔한 피드를 선호하는 편이라서 많은 스티커는 사용하지않았습니다.,05기,부정,꾸미기 기능 부족,스티커
"애완견, 애완묘들의 소통공간인거 같아서 좋은데 텍스트 쓰는 설정이 있었으면 좋겠어요!",05기,부정,기록 경험 불편,스토리작성
사진과 동영상 업로드 외에 정보공유도 할 수 있으면 좋을거같아요! 사진과 동영상만 보려고 어플을 사용하지는 않을거 같아서 어플에 많은 정보를 얻어갈수있으면 정말 좋을거 같습니다! 수고하세요!,05기,부정,기타,기타
다묘 넣을 수 있게 해주세용,05기,부정,기타,기타
본문보다는 사진 꾸밈으로만 소통가능,05기,부정,기타,기타
스토리 볼때 하나하나 선택해서 보는방법 말고 이어서 쭉 올리며 볼수있는 방법도 있었으면 좋겠어요(콜라님 의견),05기,부정,기타,기타
알림에서 댓글을 눌렀을때 어떤 댓글을 달았는지 바로 들어가졌으`면 좋겠어요,05기,부정,기록 경험 불편,알람
스몰스 덕에 귀엽고 사랑스러운 댕냥이 친구 많이 만나고 소통해서 좋았습니다~^^,05기,긍정,기타,기타
" UI가 단순하고, 사진만 올려도 되니까 편리했습니다",05기,긍정,꾸미기 기능 부족,UIUX
카메라 구동시 작동이 느림. 30초 가량 걸렸음. (갤럭시20울트라 사용),05기,부정,앱 성능/안정성,속도
A의 게시물 누르면 B의 게시물이 뜰 때가 있음.,05기,부정,기타,기타
팔로워 알림이 있으면 좋을 것 같음.,05기,부정,기록 경험 불편,알람
본문에 텍스트를 넣을 수 없는게 아쉬움.,05기,부정,기록 경험 불편,스토리작성
댓글 50자 이하 제한 아쉬움.,05기,부정,소통 기능 부족,댓글
프로필 소개글 20자 제한 아쉬움.,05기,부정,기타,기타
스티커와 효과들이 다소 올드하게 느껴짐. (특히 필터는 싸이월드 느낌),05기,부정,꾸미기 기능 부족,스티커
"심미적으로 볼때 전체적으로 앱 디자인이 아쉬움. 깔끔하고 심플하지만, 요즘말로 표현하자면 갬성이 없음.",05기,부정,기타,기타
고양이 캐릭터가 별로 없음 (랙돌 만들어주세요ㅜㅜ),05기,부정,기록 경험 불편,묘종/견종추가
팅김현상 등 몇가지 불편한 사항이 있기는 하였으나,05기,부정,앱 성능/안정성,앱멈춤
앱 초기임을 감안하면 사용하기 아주 편리하고 재밌다는 생각이 들었습니다. ,05기,긍정,기타,기타
앞으로 다양한 스티커등을 지속적으로 추가하면 사용자가 많이 늘어날것 같아요.,05기,부정,꾸미기 기능 부족,스티커
"사진에 대한 내용을 쓸 수 있는 기능, ",05기,부정,기록 경험 불편,스토리작성
"인스타그램이나 블로그 등 타 sns 링크를 걸 수 있는 기능, ",05기,부정,기록 경험 불편,공유
"글에 대한 분류(예를 들어 카테고리, 해시태그 등)을 통한 검색 기능, ",05기,부정,기타,기타
반려동물 관련 질문과 답변을 해줄수 있는 공간등 정보를 서로 나눌 수 있는 기능이 있으면 좋겠습니다.,05기,부정,소통 기능 부족,커뮤니티기능
댓글이 50자 이상 작성이 안돼서 리댓으로 달아야 하는 점. ,05기,부정,소통 기능 부족,댓글
동영상 올릴 때 인코딩이 좀 오래 걸리는 듯 합니다. ,05기,부정,소통 기능 부족,댓글
사진 올리고 나서 갑자기 한번씩 화면이 까매지고 멈춰서 앱을 닫았다가 다시 열어야 합니다. ,05기,부정,앱 성능/안정성,앱멈춤
레이아웃 디자인이 조금 더 깔끔하면서 컨셉이 다양하면 꾸미는 재미가 더 있을듯합니다. ,05기,부정,꾸미기 기능 부족,레이아웃
글씨 쓸때 좌우너비 조정이 잘 안되어서 행갈이를 꼭 해야하더라고요. 이게 좀 불편합니다.,05기,부정,꾸미기 기능 부족,텍스트
업로드 과정이 빨리 개선되었으면 좋겠습니다,05기,부정,앱 성능/안정성,앱멈춤
업로드를 위해 사진을 누르면 약간에 딜레이가 생겨요,05기,부정,앱 성능/안정성,속도
스티커가 다양하고 2D여도 좋으니 다양하면 더 좋을 것 같아요,05기,부정,꾸미기 기능 부족,스티커
업데이트를 하고 개선을 하는 부분은 너무 좋은데 5g지만 렉이 항상 심해요.. ㅜㅜ,05기,부정,앱 성능/안정성,앱멈춤
그리고 사진과 영상이 매끄럽게 올라가지 않아서 불편한 것같아요!,05기,부정,앱 성능/안정성,앱멈춤
게시물도 3줄정도 글도 같이 써서 올릴 수 있게 되면 좋겠어요,05기,부정,기록 경험 불편,스토리작성
텍스트 쓰는 설정이 있었으면 좋겠어요!,05기,부정,기록 경험 불편,스토리작성
알림이 잘 안울려요 ㅠㅠ,05기,부정,기록 경험 불편,알람
동영상도 저장되면좋을거같아욤!,05기,부정,기록 경험 불편,공유
하트 누른 사람을 볼수 있는 기능이 있었으면 좋겟습니당~~,05기,부정,기타,기타
지금은 딱히 없어요!,05기,긍정,기타,기타
없습니당,05기,긍정,기타,기타
"지정영상, 지정사진 미션 정말 재밌어요!",05기,긍정,기타,기타
개선된점이 많아서 현재 불편한점은 없어요>.<,05기,긍정,기타,기타
너무 귀여워여 ❤️,05기,긍정,기타,기타
팔로우 맺은 친구들만 따로 볼수있는 기능,05기,부정,기타,기타
강아지 고양이 게시글 분리 기능,05기,부정,기타,기타
발전하고 있는 모습이 보입니다 수고 많으십니다!,05기,긍정,기타,기타
달력기능이 생겨서 일기장처럼 요일별로 모아보는 기능도 있으면 좋겠어요. ,05기,부정,기타,기타
그리고 사진도 여러장 넘기는식으로 올릴 수 있으면 더 볼거리가 많지 않을까 하는 제안 드립니다.,05기,부정,기록 경험 불편,스토리작성
겨울 시즌 스티커도 얼른 나왔으면 좋겠어요,05기,부정,꾸미기 기능 부족,스티커
다양한 스티커요! 이니셜 스티커도 필요해요~!,05기,부정,꾸미기 기능 부족,스티커
글씨폰트와 파스텔 칼라가 더 많아졌으면 좋겠고 글씨테두리 기능도 았었으면 좋겠어요!,05기,부정,꾸미기 기능 부족,텍스트
고양이를꾸밀수있는 레이아웃을 더마니만들어주세용,05기,부정,꾸미기 기능 부족,레이아웃
동영상을짤라서올리는기능도있음 좋겠어요~,05기,부정,꾸미기 기능 부족,영상편집
텍스트 입력할때 수직이나 수평을 맞출 수 있었음 좋겠습니다 ,05기,부정,꾸미기 기능 부족,텍스트
스티커 갯수제한이 없으면 좋겠어요. ,05기,부정,꾸미기 기능 부족,스티커
크리스마스 스티커 만들어주세요.>.< 감사합니다~건강조심 감기조심하시고 수고하세요~ : ),05기,부정,꾸미기 기능 부족,스티커
스티커가 좀 더 다양했으면 좋겠습니다 :) 곧 크리스마스니까 크리스마스 컨셉 원해욥!!,05기,부정,꾸미기 기능 부족,스티커
"댓글의 댓글에 댓글을 남기고 싶어요 
댓글의 댓글에 댓글을 남기면 제일 위에 댓글에 남긴게 되더라구요 ",05기,부정,소통 기능 부족,댓글
댓글을 더 길게 작성하고 싶어요~ (50자...제한 ㅠㅠ),05기,부정,소통 기능 부족,댓글
인스타그램처럼 사진 밑에 설명글을 쓸 수 있으면 좋겠어요. 지금은 사진설명을 댓글로 써야 해서 약간 불편합니다.,05기,부정,기록 경험 불편,스토리작성
영상 업로드 느림,05기,부정,앱 성능/안정성,속도
사진올릴려고하면 로딩이 너무 느리고 ,05기,부정,앱 성능/안정성,속도
무엇보다 어플 상태가 많이 느립니다.,05기,부정,앱 성능/안정성,속도
카메라 로딩 시간이 길어요!,05기,부정,앱 성능/안정성,속도
앱 여는데 시간이 많이 걸려서 불편해용 ㅠㅠ,05기,부정,앱 성능/안정성,속도
알림이 ㅠㅠㅠ 바로 안뜨네용,05기,부정,기록 경험 불편,알람
올리는 도중 블랙아웃이되어요,05기,부정,앱 성능/안정성,앱멈춤
사진업로드시 튕김과 화면이 나가는 현상이 있어요! 재접속해야하는 불편함이 있습니다! ,05기,부정,앱 성능/안정성,앱멈춤
사진 업로드시 까만 화면 오류,05기,부정,앱 성능/안정성,앱멈춤
등록시 먹통현상,05기,부정,앱 성능/안정성,앱멈춤
사진 꾸미기 후 검은 화면이 계속 나와서 조금 불편합니다ㅠㅠ,05기,부정,앱 성능/안정성,앱멈춤
영상올리려고하면 어플이 강제종료되는게 나타납니다,05기,부정,앱 성능/안정성,앱멈춤
앱이 자주 렉 걸리는것 같아요,05기,부정,앱 성능/안정성,앱멈춤
가끔 렉걸리는 거 제외하면 좋습니다,05기,부정,앱 성능/안정성,앱멈춤
업로드 시 까만 화면이 뜨는 렉이 지속됩니다.,05기,부정,앱 성능/안정성,앱멈춤
아직도 사진을 올리면 검정색화면으로 바껴요 !! ㅠㅠ,05기,부정,앱 성능/안정성,앱멈춤
캐릭터 수정이 안되는 게 아직 안 고쳐졌어요🥹 몰리도 캐릭터 만들고싶어요🥹,05기,부정,기타,기타
사진이나 영상 업로드할때 자꾸 검은 화면이 뜨고 아무것도 안돼요. ,05기,부정,앱 성능/안정성,앱멈춤
그리고 사진 여러장을 올릴 수 있었으면 좋겠어요,05기,부정,기록 경험 불편,스토리작성
사진 외에 글로 소통할수 있는 기능 있었으면 좋겠어요~!,05기,부정,소통 기능 부족,커뮤니티기능
"스티커 회전,,!!!!!!!제발요!!!",04기,부정,꾸미기 기능 부족,스티커
안드로이드 갤럭시S22 ! 스티커가 다양했으면 좋겠습니다 각도조정도 가능해지면 좋겠습니다 ㅎㅎ,04기,부정,꾸미기 기능 부족,스티커
레이아웃 너무 귀여워요~,04기,긍정,꾸미기 기능 부족,레이아웃
없습니다,04기,긍정,기타,기타
스티커 회전기능 추가해주세요..,04기,부정,꾸미기 기능 부족,스티커
그리고 말풍선도 추가해주심 좋을것같아요 / 애플,04기,부정,꾸미기 기능 부족,스티커
스티커도 추가해주세욤!!/애플 아이폰xr ,04기,부정,꾸미기 기능 부족,스티커
좋아용,04기,긍정,기타,기타
스티커를 이용해서 꾸미고 올리면 자주 멈춰요ㅠㅠ,04기,부정,앱 성능/안정성,앱멈춤
레이아웃 너무 귀여워요♡,04기,긍정,꾸미기 기능 부족,레이아웃
스티커 회전기능 원해요♡ ,04기,부정,꾸미기 기능 부족,스티커
"https://m.blog.naver.com/emandoo1221/222855068462
블로그에 어플 소개해보았는데 링크 함께 첨부해용❤️",04기,긍정,기타,기타
스티커가 좀 회전을 하면 좋겠어요 각도맞추기가 어려워요,04기,부정,꾸미기 기능 부족,스티커
어서빨리 안정화가 되었으면 좋겠어요~,04기,부정,기타,기타
전보다 나아진것 같아요!!!!,04기,긍정,기타,기타
스티커도 더 만들어주세요 ,04기,부정,꾸미기 기능 부족,스티커
AR카메라 키면 앱재시작이 종종 됩니다 / 안드로이드,04기,부정,앱 성능/안정성,앱멈춤
처음 앱실행할때 리소스 다운로드에 실패하였습니다. 라는 표시와 함께 멈출때가 많아요. ,04기,부정,앱 성능/안정성,앱멈춤
스티커가 좌우대칭 바뀌는 기능이 있으면 좋겠어요.,04기,부정,꾸미기 기능 부족,스티커
텍스트 글꼴이 많아졌으면 좋겠어요. (휴대폰기종: 애플),04기,부정,꾸미기 기능 부족,텍스트
안드로이드 갤22 예요! 흑흑 취지나 귀여움 다 좋지만 업로드할 때마다 자꾸 멈춰서 요즘은 업로드 하고 강종하고 업로드 되었는지 확인하곤합니다 ㅠㅠ,04기,부정,앱 성능/안정성,앱멈춤
그리구 마친 오늘 유심갈면서 배터리부분 체크했는데 스몰스앱이 비정상적으로 많이 차지해서 과열되는 현상이 있다고 하네요! 참고하시면 좋을 것 같아 작성합니다 ☺️♥️♥️,04기,부정,기타,기타
"애플 사용자입니다! 업로드시 앱 튕김현상이 있고, 다시 로그인을해야 하는 오류가 있었습니다. 업로드도 되어있지않았구요ㅠ 두번의 시도끝에 업로드가 되었다는 점 공유해드립니다!!",04기,부정,앱 성능/안정성,앱멈춤
애플/ 다양한 스티커와 레이아웃이 더더 추가되었으면 좋겠어용!!,04기,부정,꾸미기 기능 부족,레이아웃
안드로이드 / 게시글 최신 순으로 보고싶은데 최신 탭 눌러도 최신 순으로 보이지 않아요,04기,부정,기타,기타
어플사용시 버벅거립니다. 애플 아이폰 13유저,04기,부정,앱 성능/안정성,속도
요즘 레이아웃이랑 스티커로 꾸미는 재미에 빠졋어용 감사합니당,04기,긍정,꾸미기 기능 부족,레이아웃
로딩이 너무 느려요 ㅠㅠ,04기,부정,앱 성능/안정성,속도
레이아웃 더 다양해졌으면 좋겠어요옹 귀여운거 넘 좋아여,04기,긍정,꾸미기 기능 부족,레이아웃
감사합니다!,04기,긍정,기타,기타
동영상 음소거기능이요,04기,부정,꾸미기 기능 부족,영상편집
오산완 같은 힙한 유행어 레이아웃 더 생겻으면 좋겟어요!!,04기,부정,꾸미기 기능 부족,레이아웃
좋습니당,04기,긍정,기타,기타
감사해요,04기,긍정,기타,기타
꾸밀수 있는 것들이 다 다양해지면 좋겠아요^^ ,04기,부정,기타,기타
그리고 안정화가 좀 더 잘되길 바래요~,04기,부정,기타,기타
스티커랑 글자 회전 가능해진거 너무 좋아요!!!❤️,04기,긍정,꾸미기 기능 부족,스티커
시즌 스티커가 다양해졌으면 좋겠어요ㅎㅎ글씨색 변경두요!,04기,부정,꾸미기 기능 부족,스티커
항상감사합니다💖 좋은하루되세욤💖,04기,긍정,기타,기타
감사합니다:),04기,긍정,기타,기타
레이어 설정시 아래쪽있는걸 선택하려고 하면 선택이 안됩니다. 무조건 앞줄에 어떤 걸 선택 후 아랫쪽으로 내려야지만 가능해요 ㅠㅜ 아이폰입니다!,04기,부정,꾸미기 기능 부족,레이아웃
영상에도 텍스트 쓸 수 있었으면 좋게써요ㅠㅠ,04기,부정,꾸미기 기능 부족,영상편집
앱을 들어갈때마다 다운로드? 시간이 너무 오래걸려용 ㅠ ,04기,부정,앱 성능/안정성,속도
동영상 추가 되고나서 더 좋아진거같아용ㅎㅎ,04기,긍정,기타,기타
업로드 후 화면이 까매지면서 렉이 걸려요! / 애플,04기,부정,앱 성능/안정성,앱멈춤
귀여운 스티커가 회전도 되고 너무 좋아요>.< ,04기,긍정,꾸미기 기능 부족,스티커
로딩 및 오류가 심함(사진 업로드 시 검은 화면),04기,부정,앱 성능/안정성,앱멈춤
"글자 크기 조절(사각틀 조절 아닌 글자 크키, 한 줄에 한 문장이 들어갈 수 있게)",04기,부정,꾸미기 기능 부족,텍스트
없음,04기,긍정,기타,기타
영상 업로드후 어플 꺼짐현상은 계속되고있어요~~,04기,부정,앱 성능/안정성,앱멈춤
다른 친구들의 귀여운 영상 사진을 볼수있고 소통할수있어서 좋아요~,04기,긍정,기타,기타
갤러리 사진꾸미기하려고 사진 버튼 누르면 모든 키가 안눌리고 멈춰요 ,04기,부정,앱 성능/안정성,앱멈춤
앱을 끄고 다시 실행하기를 여러번 반복해야 그때 버튼이 눌리고 실행이 되는 오류가 자주 발생해요 ,04기,부정,앱 성능/안정성,앱멈춤
재미있고 귀여운 스티커가 더 많이 나왔으면 좋겠어요,04기,부정,꾸미기 기능 부족,스티커
다양한 텍스트가 추가되었으면 좋겠어요 늘 감사합니다~수고하세요^^,04기,부정,꾸미기 기능 부족,텍스트
어플이 꺼졌다 켜지는 모션이 종종 있어요!,04기,부정,앱 성능/안정성,앱멈춤
감사합니당 ㅎㅎ스몰스를 하게되어서 정말좋아요,04기,긍정,기타,기타
동영상 업로드 기능 짱 좋아용!!,04기,긍정,기타,기타
이번주 늦어서 죄송합니다 ㅜㅜ 몰아서 올려서 반성하는 맘으로 오늘부터 다시 열심히 하게쑴닷!!!,04기,긍정,기타,기타
늦어서 죄송해요 다음부터는 제때 제출 하도록하겠습니다,04기,긍정,기타,기타
동영상 음소거모드 됬음 좋겠어요~,04기,부정,꾸미기 기능 부족,영상편집
감사합니다! ,04기,긍정,기타,기타
감사합니다,04기,긍정,기타,기타
레이아웃 글씨수정이나 색 변경같은 디테일한 부분도 생기면 더 좋을것같아요,04기,부정,꾸미기 기능 부족,텍스트
예전에는 랙도 많이 걸리구 잘 안넘어가구 그랬는데 요즘은 많이 개선이 되어서 사용하기 넘 좋아요♡ ,04기,긍정,기타,기타
올리는데 팅기는 현상이 있었어요~! 아이폰12pro ,04기,부정,앱 성능/안정성,앱멈춤
사진 올릴때 종종 에러가 나서 다 꾸며놨는데 어플이 다운되어버려요ㅠ,04기,부정,앱 성능/안정성,앱멈춤
불편한점 없어용,04기,긍정,기타,기타
감사합니다,04기,긍정,기타,기타
넘넘 조아요 ! 강아지 추억 남기기 좋네용ㅎㅎ,04기,긍정,기타,기타
우리아기사진을 보면서 감회가 새롭네용,04기,긍정,기타,기타
곰돌이 귀나 토끼귀 가로로 조금더 좁혀졋으면 좋겟습니당!!,04기,부정,꾸미기 기능 부족,스티커
항상 귀여운 친구들 볼 수 있게 노력해주셔서 감사해용✌️,04기,긍정,기타,기타
안정화가 되는 그날까지!! 화이팅!!,04기,부정,기타,기타
